единица,општина,место,регистрирани,гласале,валидни,ВМРО-ДПМНЕ и др.,СДСМ и др.,Алијанса за Албанците,БЕСА,ВМРО за Македонија,ДПА,ДУИ,КПП - Трет блок,ЛЕВИЦА,ЛП,ПДП
ИЕ 1,Аеродром,2673,808,631,612,216,357,0,0,4,2,0,13,16,4,
ИЕ 1,Аеродром,2674,966,779,751,307,376,0,0,19,0,1,22,23,3,
ИЕ 1,Аеродром,2675,749,574,550,210,287,0,0,6,1,0,13,24,9,
ИЕ 1,Аеродром,2676,661,519,499,173,274,0,0,19,0,1,7,16,9,
ИЕ 1,Аеродром,2677,674,504,483,171,262,1,0,15,1,0,17,10,6,
ИЕ 1,Аеродром,2678,808,605,586,180,351,0,0,13,1,0,11,24,6,
ИЕ 1,Аеродром,2679,474,361,349,145,182,0,0,5,0,0,7,10,0,
ИЕ 1,Аеродром,2679/1,562,422,402,162,202,0,1,12,1,1,8,13,2,
ИЕ 1,Аеродром,2680,565,462,447,185,214,0,0,22,1,0,8,15,2,
ИЕ 1,Аеродром,2680/1,480,385,376,168,168,0,0,17,0,0,10,11,2,
ИЕ 1,Аеродром,2681,1024,806,784,373,349,0,0,16,1,0,13,28,4,
ИЕ 1,Аеродром,2682,618,468,460,160,250,0,3,13,0,1,14,17,2,
ИЕ 1,Аеродром,2682/1,454,348,331,116,177,0,1,7,1,2,13,11,3,
ИЕ 1,Аеродром,2683,570,443,435,168,227,0,0,11,0,0,5,18,6,
ИЕ 1,Аеродром,2683/1,401,317,301,112,172,0,0,3,0,0,5,8,1,
ИЕ 1,Аеродром,2684,557,436,420,172,210,0,0,11,1,2,6,17,1,
ИЕ 1,Аеродром,2684/1,651,511,490,221,239,0,0,6,2,0,5,14,3,
ИЕ 1,Аеродром,2685,624,460,433,232,175,0,0,9,0,0,8,7,2,
ИЕ 1,Аеродром,2686,577,455,438,156,243,0,0,11,0,1,11,12,4,
ИЕ 1,Аеродром,2687,572,441,428,131,258,1,0,9,0,0,11,12,6,
ИЕ 1,Аеродром,2688,624,491,479,178,271,0,0,7,0,1,7,11,4,
ИЕ 1,Аеродром,2689,522,410,392,190,181,0,0,7,1,0,7,2,4,
ИЕ 1,Аеродром,2690,768,633,624,208,373,0,0,14,1,0,4,18,6,
ИЕ 1,Аеродром,2691,504,411,397,135,232,0,7,5,0,0,6,0,12,
ИЕ 1,Аеродром,2692,886,694,667,241,362,0,0,17,1,1,18,22,5,
ИЕ 1,Аеродром,2693,667,540,523,175,306,0,0,9,1,0,9,18,5,
ИЕ 1,Аеродром,2694,848,673,657,235,360,0,1,11,0,0,18,26,6,
ИЕ 1,Аеродром,2695,647,525,506,218,256,0,0,3,0,1,6,19,3,
ИЕ 1,Аеродром,2696,674,546,519,191,280,0,0,10,0,1,10,18,9,
ИЕ 1,Аеродром,2697,725,584,566,209,318,0,0,16,1,0,4,15,3,
ИЕ 1,Аеродром,2698,642,511,488,175,274,0,0,9,1,0,8,17,4,
ИЕ 1,Аеродром,2699,577,454,439,162,234,1,0,7,1,0,6,25,3,
ИЕ 1,Аеродром,2700,904,748,715,270,385,0,1,15,0,0,21,19,4,
ИЕ 1,Аеродром,2701,584,478,457,170,245,0,0,12,0,1,9,15,5,
ИЕ 1,Аеродром,2702,816,657,637,234,353,0,0,12,0,0,9,26,3,
ИЕ 1,Аеродром,2703,882,659,638,259,328,0,1,22,1,2,5,15,5,
ИЕ 1,Аеродром,2704,884,700,681,220,396,2,1,15,1,0,13,31,2,
ИЕ 1,Аеродром,2705,684,546,532,177,318,0,0,6,0,0,3,24,4,
ИЕ 1,Аеродром,2706,677,486,476,208,228,0,0,5,3,0,16,11,5,
ИЕ 1,Аеродром,2707,594,480,464,192,232,0,0,11,0,0,10,14,5,
ИЕ 1,Аеродром,2708,1647,1239,1207,503,587,0,0,30,1,0,21,54,11,
ИЕ 1,Аеродром,2709,785,574,550,193,298,1,1,17,0,0,9,28,3,
ИЕ 1,Аеродром,2710,918,734,713,278,360,0,1,16,0,0,20,34,4,
ИЕ 1,Аеродром,2711,665,529,513,267,217,0,1,5,0,0,8,11,4,
ИЕ 1,Аеродром,2712,875,671,638,256,343,0,0,17,1,0,10,9,2,
ИЕ 1,Аеродром,2713,689,583,557,208,305,0,0,12,0,0,7,20,5,
ИЕ 1,Аеродром,2714,717,585,570,237,294,3,0,7,0,1,13,12,3,
ИЕ 1,Аеродром,2714/1,942,731,704,288,369,0,0,17,0,0,11,16,3,
ИЕ 1,Аеродром,2715,523,457,447,192,218,0,0,14,0,1,11,10,1,
ИЕ 1,Аеродром,2715/1,562,478,466,211,216,1,0,8,0,0,12,14,4,
ИЕ 1,Аеродром,2716,466,402,388,158,177,0,1,23,0,0,13,12,4,
ИЕ 1,Аеродром,2716/1,463,398,373,169,165,0,0,15,0,0,6,16,2,
ИЕ 1,Аеродром,2717,512,387,369,180,164,0,0,6,1,0,6,8,4,
ИЕ 1,Аеродром,2717/1,535,432,425,185,207,0,0,12,0,0,5,12,4,
ИЕ 1,Аеродром,2718,865,700,684,243,371,0,0,18,0,0,12,30,10,
ИЕ 1,Аеродром,2719,834,636,611,255,318,0,0,8,0,0,7,18,5,
ИЕ 1,Аеродром,2719/1,860,660,646,276,321,0,0,12,0,0,14,20,3,
ИЕ 1,Аеродром,2720,561,429,422,162,230,1,0,7,0,1,7,12,2,
ИЕ 1,Аеродром,2720/1,530,393,380,153,199,0,0,9,1,0,5,11,2,
ИЕ 1,Аеродром,2721,521,428,410,212,176,1,0,5,0,0,5,9,2,
ИЕ 1,Аеродром,2721/1,537,433,419,248,142,0,0,10,1,0,10,6,2,
ИЕ 1,Аеродром,2722,920,722,690,323,309,0,0,16,0,0,13,21,8,
ИЕ 1,Аеродром,2723,910,720,696,365,264,0,0,20,0,2,22,23,0,
ИЕ 1,Аеродром,2724,556,444,428,176,223,0,0,13,0,1,6,8,1,
ИЕ 1,Аеродром,2725,742,581,559,246,277,0,0,7,1,0,9,17,2,
ИЕ 1,Аеродром,2726,532,425,400,164,208,1,0,4,1,0,7,11,4,
ИЕ 1,Аеродром,2727,887,691,674,325,299,0,0,14,0,0,10,21,5,
ИЕ 1,Аеродром,2728,578,383,376,170,104,4,39,11,18,21,6,1,2,
ИЕ 1,Аеродром,2729,138,97,92,67,22,0,0,1,0,0,0,2,0,
ИЕ 1,Аеродром,2730,610,475,450,297,119,1,0,13,1,0,7,11,1,
ИЕ 1,Аеродром,2730/1,501,399,382,257,104,0,0,9,0,0,5,4,3,
ИЕ 1,Аеродром,2731,838,632,608,389,173,0,0,21,1,0,6,14,4,
ИЕ 1,Аеродром,2732,726,559,537,330,160,0,3,15,0,3,9,12,5,
ИЕ 1,Аеродром,2732/1,883,646,627,393,189,0,0,18,3,0,10,13,1,
ИЕ 1,Аеродром,2733,499,375,364,226,112,0,0,9,1,0,7,7,2,
ИЕ 1,Аеродром,2733/1,654,515,498,297,154,3,0,14,1,15,8,3,3,
ИЕ 1,Аеродром,2734,862,656,641,402,180,0,9,24,0,1,9,13,3,
ИЕ 1,Аеродром,2735,798,644,623,410,180,0,0,17,1,0,7,6,2,
ИЕ 1,Аеродром,2736,939,737,708,443,192,2,16,17,9,9,11,8,1,
ИЕ 1,Аеродром,2737,812,631,610,401,157,0,11,15,3,11,4,8,0,
ИЕ 1,Аеродром,2738,804,584,576,353,150,1,6,11,9,33,7,2,4,
ИЕ 1,Аеродром,2752,669,511,504,167,295,0,0,7,0,0,4,24,7,
ИЕ 1,Аеродром,2753,883,746,725,281,388,0,0,10,1,0,13,25,7,
ИЕ 1,Аеродром,2754,713,575,556,168,344,0,1,9,0,1,8,16,9,
ИЕ 1,Аеродром,2755,675,530,520,189,274,0,0,6,1,0,25,19,6,
ИЕ 1,Аеродром,2756,707,583,561,203,303,0,0,9,0,1,17,17,11,
ИЕ 1,Аеродром,2757,550,461,452,148,262,0,0,10,1,0,16,10,5,
ИЕ 1,Аеродром,2758,569,447,428,150,256,0,0,2,0,0,4,12,4,
ИЕ 1,Аеродром,2759,645,515,499,171,294,0,0,7,0,0,5,14,8,
ИЕ 1,Аеродром,2760,345,268,258,111,118,0,1,5,0,6,4,10,3,
ИЕ 1,Аеродром,2772,630,507,477,310,138,1,0,6,1,0,17,2,2,
ИЕ 1,Аеродром,2772/1,514,415,399,243,127,0,1,14,3,0,9,2,0,
ИЕ 1,Аеродром,2773,966,742,724,440,234,0,0,21,1,2,15,9,2,
ИЕ 1,Аеродром,ЗРД-9-1,71,58,58,26,29,0,0,2,1,0,0,0,0,
ИЕ 1,Карпош,2592,986,811,787,318,409,0,0,17,0,0,21,12,10,
ИЕ 1,Карпош,2593,643,538,518,220,254,1,0,10,0,2,5,20,6,
ИЕ 1,Карпош,2593/1,587,465,451,161,262,0,0,13,1,3,2,6,3,
ИЕ 1,Карпош,2594,972,768,752,296,402,1,0,5,2,0,23,20,3,
ИЕ 1,Карпош,2595,892,742,714,287,368,0,0,10,0,0,17,26,6,
ИЕ 1,Карпош,2596,749,629,615,196,371,0,0,8,0,1,11,19,9,
ИЕ 1,Карпош,2597,452,354,344,120,200,0,0,6,0,0,5,9,4,
ИЕ 1,Карпош,2597/1,560,463,445,133,270,0,0,5,0,0,23,13,1,
ИЕ 1,Карпош,2598,925,720,694,220,424,0,0,11,0,0,15,20,4,
ИЕ 1,Карпош,2599,984,797,772,268,432,0,1,12,4,2,15,28,10,
ИЕ 1,Карпош,2600,936,771,755,215,467,0,0,12,0,0,22,29,10,
ИЕ 1,Карпош,2601,572,473,463,106,327,0,0,5,1,2,7,14,1,
ИЕ 1,Карпош,2601/1,606,500,488,131,316,0,0,5,1,0,9,24,2,
ИЕ 1,Карпош,2602,698,587,572,158,369,0,0,6,0,8,2,21,8,
ИЕ 1,Карпош,2603,695,553,534,202,289,0,2,6,1,2,9,22,1,
ИЕ 1,Карпош,2604,394,322,305,94,180,0,0,4,0,2,6,15,4,
ИЕ 1,Карпош,2605,652,481,472,160,285,0,0,3,0,0,6,14,4,
ИЕ 1,Карпош,2606,712,551,540,155,351,1,0,11,3,1,3,14,1,
ИЕ 1,Карпош,2607,725,578,559,157,354,0,0,12,0,0,10,19,7,
ИЕ 1,Карпош,2608,567,447,425,146,242,0,0,13,0,3,8,10,3,
ИЕ 1,Карпош,2609,876,650,633,295,291,0,1,11,0,1,12,16,6,
ИЕ 1,Карпош,2610,819,674,657,272,330,1,0,13,0,0,13,20,8,
ИЕ 1,Карпош,2611,865,690,665,286,303,0,7,19,0,12,5,20,13,
ИЕ 1,Карпош,2612,840,655,641,196,384,0,1,11,0,4,17,22,6,
ИЕ 1,Карпош,2613,861,681,665,234,353,1,1,17,1,1,20,28,9,
ИЕ 1,Карпош,2614,583,470,453,146,217,3,15,15,2,26,9,17,3,
ИЕ 1,Карпош,2614/1,606,440,431,107,238,2,26,12,6,12,10,14,4,
ИЕ 1,Карпош,2615,894,704,675,229,384,2,10,13,1,0,15,15,6,
ИЕ 1,Карпош,2616,932,707,678,205,419,2,4,13,0,7,9,17,2,
ИЕ 1,Карпош,2617,644,512,494,258,177,9,11,9,2,8,8,10,2,
ИЕ 1,Карпош,2617/1,577,452,434,226,180,0,0,10,0,0,10,7,1,
ИЕ 1,Карпош,2618,648,476,463,184,165,18,36,6,1,38,6,6,3,
ИЕ 1,Карпош,2618/1,537,395,378,152,137,0,43,10,12,15,2,4,3,
ИЕ 1,Карпош,2619,503,397,383,168,169,0,11,8,0,9,7,10,1,
ИЕ 1,Карпош,2620,951,668,653,113,300,15,108,6,10,81,5,9,6,
ИЕ 1,Карпош,2621,130,99,97,21,47,1,9,2,2,14,0,1,0,
ИЕ 1,Карпош,2622,640,502,482,181,267,0,0,11,0,0,7,14,2,
ИЕ 1,Карпош,2623,780,627,603,223,323,0,0,18,0,0,18,21,0,
ИЕ 1,Карпош,2624,804,615,598,177,373,0,1,10,1,0,9,23,4,
ИЕ 1,Карпош,2625,691,545,523,185,297,0,0,5,0,0,14,18,4,
ИЕ 1,Карпош,2626,528,431,411,144,226,0,0,13,0,0,5,19,4,
ИЕ 1,Карпош,2626/1,583,471,458,151,265,0,1,8,1,0,6,17,9,
ИЕ 1,Карпош,2627,678,521,500,187,270,0,0,10,1,1,6,17,8,
ИЕ 1,Карпош,2628,801,619,593,205,342,0,1,14,0,0,8,20,3,
ИЕ 1,Карпош,2629,670,526,499,183,265,0,0,11,0,0,6,25,9,
ИЕ 1,Карпош,2630,463,334,319,117,178,1,0,2,1,0,8,8,4,
ИЕ 1,Карпош,2631,736,552,540,229,250,0,2,8,1,0,8,30,12,
ИЕ 1,Карпош,2632,733,586,569,229,302,1,0,14,0,0,11,8,4,
ИЕ 1,Карпош,2633,751,586,569,222,306,1,4,5,0,1,11,11,8,
ИЕ 1,Карпош,2634,778,612,586,252,268,0,2,17,2,0,18,17,10,
ИЕ 1,Карпош,2635,695,536,518,129,352,0,0,7,0,1,13,13,3,
ИЕ 1,Карпош,2636,947,757,732,253,418,0,0,15,0,2,14,23,7,
ИЕ 1,Карпош,2637,617,504,496,146,308,0,3,7,0,0,3,20,9,
ИЕ 1,Карпош,2638,786,614,589,195,331,1,0,16,2,0,14,28,2,
ИЕ 1,Карпош,2639,812,647,628,249,323,0,0,13,1,2,10,26,4,
ИЕ 1,Карпош,2640,855,690,669,236,378,0,2,13,0,1,6,26,7,
ИЕ 1,Карпош,2641,759,610,584,246,286,0,1,6,0,3,14,15,13,
ИЕ 1,Карпош,2642,721,593,573,235,293,0,0,14,0,1,11,16,3,
ИЕ 1,Карпош,2643,825,666,650,254,354,1,0,13,0,2,10,11,5,
ИЕ 1,Карпош,2644,616,491,469,187,239,0,3,6,0,0,8,22,4,
ИЕ 1,Карпош,2644/1,662,526,509,175,301,0,0,8,0,0,8,11,6,
ИЕ 1,Карпош,2645,713,571,546,236,271,0,0,16,0,1,2,10,10,
ИЕ 1,Карпош,2646,646,519,495,190,278,0,0,11,0,1,4,10,1,
ИЕ 1,Карпош,2647,918,741,718,294,379,2,1,13,0,1,9,14,5,
ИЕ 1,Карпош,2648,913,731,713,263,385,1,1,11,1,0,26,22,3,
ИЕ 1,Карпош,2649,526,443,430,161,217,0,0,20,0,0,11,17,4,
ИЕ 1,Карпош,2649/1,579,464,450,192,221,0,0,9,1,0,11,13,3,
ИЕ 1,Карпош,2650,690,570,552,215,301,0,0,12,0,1,8,13,2,
ИЕ 1,Карпош,2651,582,484,474,188,253,2,7,7,0,2,0,15,0,
ИЕ 1,Карпош,2651/1,606,492,483,170,273,0,0,9,1,0,14,15,1,
ИЕ 1,Карпош,2652,848,534,511,273,195,0,2,3,1,23,4,10,0,
ИЕ 1,Карпош,2652/1,747,487,472,275,169,0,0,9,0,5,8,4,2,
ИЕ 1,Карпош,2653,692,584,554,316,198,0,0,11,0,0,11,10,8,
ИЕ 1,Карпош,2653/1,796,648,618,343,231,0,0,16,0,0,7,17,4,
ИЕ 1,Карпош,ЗРД-43-1,73,64,64,19,40,0,0,3,0,0,2,0,0,
ИЕ 1,Кисела Вода,2425,731,579,555,322,197,0,0,16,2,0,4,11,3,
ИЕ 1,Кисела Вода,2425/1,699,553,537,318,182,0,0,18,0,1,7,10,1,
ИЕ 1,Кисела Вода,2426,568,420,400,252,120,1,0,13,0,1,8,0,5,
ИЕ 1,Кисела Вода,2426/1,621,497,488,314,144,0,0,19,0,0,9,2,0,
ИЕ 1,Кисела Вода,2427,836,641,622,407,174,0,0,25,1,1,8,4,2,
ИЕ 1,Кисела Вода,2654,576,419,399,178,187,0,0,16,0,1,7,7,3,
ИЕ 1,Кисела Вода,2655,768,589,570,264,261,0,0,16,1,0,14,13,1,
ИЕ 1,Кисела Вода,2656,769,611,592,255,295,0,0,12,1,1,14,9,5,
ИЕ 1,Кисела Вода,2657,495,398,384,165,184,0,0,9,0,0,12,11,3,
ИЕ 1,Кисела Вода,2658,709,570,548,237,271,0,2,9,0,1,10,12,6,
ИЕ 1,Кисела Вода,2659,970,785,755,251,443,0,1,15,1,0,10,28,6,
ИЕ 1,Кисела Вода,2660,844,670,653,257,342,0,0,14,1,0,14,19,6,
ИЕ 1,Кисела Вода,2661,502,419,405,153,227,0,0,6,0,0,1,13,5,
ИЕ 1,Кисела Вода,2662,539,415,406,153,227,0,0,8,0,0,4,10,4,
ИЕ 1,Кисела Вода,2663,536,429,419,168,204,0,0,11,1,1,15,15,4,
ИЕ 1,Кисела Вода,2664,512,408,395,162,190,0,1,12,0,0,10,13,7,
ИЕ 1,Кисела Вода,2665,679,533,515,202,253,0,0,13,1,1,17,21,7,
ИЕ 1,Кисела Вода,2666,608,452,431,185,202,0,0,11,0,0,7,21,5,
ИЕ 1,Кисела Вода,2667,510,392,383,179,174,0,0,7,0,1,12,10,0,
ИЕ 1,Кисела Вода,2667/1,490,370,355,152,169,0,0,6,0,0,12,10,6,
ИЕ 1,Кисела Вода,2668,841,668,643,283,307,0,0,11,1,0,17,14,10,
ИЕ 1,Кисела Вода,2669,480,369,358,153,173,0,0,7,0,1,7,13,4,
ИЕ 1,Кисела Вода,2669/1,562,434,418,194,184,0,0,7,0,0,14,15,4,
ИЕ 1,Кисела Вода,2670,928,710,690,292,357,0,0,11,0,1,14,12,3,
ИЕ 1,Кисела Вода,2671,518,400,388,191,167,0,0,8,0,0,13,7,2,
ИЕ 1,Кисела Вода,2671/1,569,446,430,193,202,0,0,12,0,0,7,16,0,
ИЕ 1,Кисела Вода,2672,292,234,227,123,83,0,0,3,0,0,6,9,3,
ИЕ 1,Кисела Вода,2739,741,568,540,241,256,0,0,10,0,0,15,15,3,
ИЕ 1,Кисела Вода,2740,700,521,499,231,231,0,0,13,2,0,6,9,7,
ИЕ 1,Кисела Вода,2741,757,583,562,239,272,0,0,15,0,1,9,15,11,
ИЕ 1,Кисела Вода,2742,363,262,250,110,120,0,0,3,0,0,8,4,5,
ИЕ 1,Кисела Вода,2743,830,625,594,201,316,0,0,26,0,0,10,26,15,
ИЕ 1,Кисела Вода,2744,698,536,513,191,294,0,0,4,0,0,2,19,3,
ИЕ 1,Кисела Вода,2745,704,534,523,209,267,0,0,10,1,0,11,16,9,
ИЕ 1,Кисела Вода,2746,662,534,521,229,250,0,0,9,0,0,14,17,2,
ИЕ 1,Кисела Вода,2747,598,477,460,222,205,0,1,8,2,0,7,13,2,
ИЕ 1,Кисела Вода,2748,479,392,380,216,133,0,0,7,2,1,6,12,3,
ИЕ 1,Кисела Вода,2748/1,568,464,448,221,194,0,0,17,2,0,6,7,1,
ИЕ 1,Кисела Вода,2749,654,474,459,300,127,0,0,19,2,0,7,4,0,
ИЕ 1,Кисела Вода,2750,705,553,535,291,203,0,0,15,4,1,11,4,6,
ИЕ 1,Кисела Вода,2751,604,503,483,273,176,0,0,18,0,0,6,10,0,
ИЕ 1,Кисела Вода,2751/1,700,548,526,302,179,0,0,12,0,0,21,9,3,
ИЕ 1,Кисела Вода,2761,672,548,535,227,262,0,1,13,0,0,9,20,3,
ИЕ 1,Кисела Вода,2762,877,701,674,306,309,0,0,13,1,0,11,29,5,
ИЕ 1,Кисела Вода,2762/1,623,510,501,211,254,0,0,13,1,0,7,15,0,
ИЕ 1,Кисела Вода,2763,764,607,588,255,281,0,0,7,0,6,14,18,7,
ИЕ 1,Кисела Вода,2764,869,679,656,294,297,2,0,9,2,0,20,24,8,
ИЕ 1,Кисела Вода,2765,597,470,459,227,187,0,1,14,0,1,12,14,3,
ИЕ 1,Кисела Вода,2766,607,446,430,232,161,0,0,14,0,0,5,14,4,
ИЕ 1,Кисела Вода,2767,678,548,531,223,264,0,0,7,0,0,20,15,2,
ИЕ 1,Кисела Вода,2768,430,327,304,192,100,0,1,4,1,0,1,5,0,
ИЕ 1,Кисела Вода,2769,512,420,405,170,191,0,0,11,1,0,8,19,5,
ИЕ 1,Кисела Вода,2770,660,511,484,283,165,0,2,17,0,0,7,10,0,
ИЕ 1,Кисела Вода,2771,482,396,382,217,133,0,0,20,1,0,6,5,0,
ИЕ 1,Кисела Вода,2774,815,645,624,436,146,1,0,19,2,0,10,7,3,
ИЕ 1,Кисела Вода,2775,842,665,640,341,254,0,6,15,1,1,11,5,6,
ИЕ 1,Кисела Вода,2776,707,527,510,217,255,2,4,12,2,2,8,4,4,
ИЕ 1,Кисела Вода,2777,161,115,112,71,35,0,0,1,0,0,1,3,1,
ИЕ 1,Кисела Вода,2778,564,393,377,167,190,0,0,7,0,0,7,4,2,
ИЕ 1,Кисела Вода,2779,679,460,443,223,185,0,6,12,0,1,2,9,5,
ИЕ 1,Кисела Вода,2780,839,627,605,330,221,0,0,22,0,2,13,9,8,
ИЕ 1,Кисела Вода,2781,489,352,345,172,132,0,0,12,4,2,6,13,4,
ИЕ 1,Кисела Вода,2781/1,515,381,362,185,153,0,7,12,0,0,2,3,0,
ИЕ 1,Кисела Вода,2782,492,376,366,206,144,0,1,8,0,0,2,3,2,
ИЕ 1,Кисела Вода,2782/1,515,386,377,175,175,0,1,10,1,2,6,4,3,
ИЕ 1,Кисела Вода,2783,813,607,591,331,208,1,1,23,0,2,16,6,3,
ИЕ 1,Кисела Вода,2784,506,379,365,156,173,1,3,15,0,0,7,10,0,
ИЕ 1,Кисела Вода,2784/1,497,362,352,176,154,0,0,8,3,0,3,5,3,
ИЕ 1,Кисела Вода,2785,615,449,432,233,165,0,2,15,1,0,10,4,2,
ИЕ 1,Кисела Вода,2786,429,320,311,168,124,2,1,7,0,0,4,3,2,
ИЕ 1,Кисела Вода,2787,456,332,323,197,99,0,0,17,0,0,6,2,2,
ИЕ 1,Кисела Вода,2788,665,497,480,279,166,1,0,16,0,0,10,4,4,
ИЕ 1,Кисела Вода,2789,791,619,602,378,165,1,0,24,1,0,20,10,3,
ИЕ 1,Кисела Вода,2789/1,945,751,724,444,213,0,2,29,1,1,21,11,2,
ИЕ 1,Кисела Вода,2790,530,420,407,248,129,0,0,10,0,2,11,5,2,
ИЕ 1,Кисела Вода,2791,643,453,441,259,157,0,0,9,1,0,7,4,4,
ИЕ 1,Кисела Вода,2792,962,738,710,469,180,0,2,25,1,0,13,12,8,
ИЕ 1,Кисела Вода,2793,503,381,363,236,103,0,0,12,2,0,5,2,3,
ИЕ 1,Кисела Вода,2793/1,493,371,362,228,105,0,0,16,0,0,2,7,4,
ИЕ 1,Кисела Вода,2794,847,664,637,352,238,1,0,25,0,1,11,5,4,
ИЕ 1,Кисела Вода,2795,472,314,306,203,82,1,0,11,0,0,2,5,2,
ИЕ 1,Кисела Вода,2795/1,514,347,334,210,101,0,0,9,4,0,8,2,0,
ИЕ 1,Кисела Вода,ЗРД-44-1,75,54,53,24,28,0,0,1,0,0,0,0,0,
ИЕ 1,Македонски Брод,0224,6,5,5,4,1,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0225,12,6,6,1,5,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0226,34,24,21,16,4,0,0,1,0,0,0,0,0,
ИЕ 1,Македонски Брод,0227,63,55,54,29,23,0,0,0,1,1,0,0,0,
ИЕ 1,Македонски Брод,0228,20,9,9,5,4,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0229,120,96,93,52,39,0,0,1,0,0,0,0,1,
ИЕ 1,Македонски Брод,0230,35,22,22,9,13,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0231,161,135,131,70,57,0,0,0,0,0,4,0,0,
ИЕ 1,Македонски Брод,0232,57,42,39,32,7,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0233,146,121,119,61,50,0,0,6,1,0,0,0,1,
ИЕ 1,Македонски Брод,0234,35,15,15,11,4,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0235,14,10,10,10,0,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0236,11,7,6,6,0,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0237,18,5,4,2,2,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0238,52,41,41,28,8,0,0,5,0,0,0,0,0,
ИЕ 1,Македонски Брод,0239,8,4,4,3,0,0,0,1,0,0,0,0,0,
ИЕ 1,Македонски Брод,0240,117,71,71,54,14,0,0,2,0,0,0,0,1,
ИЕ 1,Македонски Брод,0241,17,11,10,5,5,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0242,26,22,22,10,12,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0243,12,4,4,3,1,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0244,98,84,81,47,33,0,0,1,0,0,0,0,0,
ИЕ 1,Македонски Брод,0245,9,8,8,4,4,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0246,17,10,10,6,4,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0247,531,435,418,230,174,0,0,9,2,0,3,0,0,
ИЕ 1,Македонски Брод,0247/1,632,533,518,251,241,0,0,16,2,1,5,2,0,
ИЕ 1,Македонски Брод,0248,677,569,549,305,231,0,0,8,0,0,1,2,2,
ИЕ 1,Македонски Брод,0248/1,603,502,475,224,235,2,0,5,3,2,4,0,0,
ИЕ 1,Македонски Брод,0249,687,580,547,294,228,0,0,20,0,0,4,1,0,
ИЕ 1,Македонски Брод,0250,7,0,0,0,0,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0251,25,11,10,10,0,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0252,41,28,27,13,11,0,0,0,2,0,1,0,0,
ИЕ 1,Македонски Брод,0253,32,24,24,14,10,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0254,54,34,34,25,8,1,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0255,160,118,112,82,24,0,0,5,1,0,0,0,0,
ИЕ 1,Македонски Брод,0256,10,5,5,3,2,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0257,67,46,43,23,19,0,0,1,0,0,0,0,0,
ИЕ 1,Македонски Брод,0258,34,27,27,22,3,0,0,0,2,0,0,0,0,
ИЕ 1,Македонски Брод,0259,287,230,226,104,113,0,0,4,0,0,1,3,1,
ИЕ 1,Македонски Брод,0260,36,28,23,13,9,0,0,0,0,0,1,0,0,
ИЕ 1,Македонски Брод,0261,2,2,2,2,0,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0262,58,39,36,22,12,0,0,0,1,0,1,0,0,
ИЕ 1,Македонски Брод,0263,22,16,16,11,4,0,0,1,0,0,0,0,0,
ИЕ 1,Македонски Брод,0264,16,12,12,10,1,0,0,0,1,0,0,0,0,
ИЕ 1,Македонски Брод,0265,10,5,5,4,1,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0266,11,0,0,0,0,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0267,24,16,16,9,6,0,0,0,1,0,0,0,0,
ИЕ 1,Македонски Брод,0268,25,18,18,10,7,0,0,1,0,0,0,0,0,
ИЕ 1,Македонски Брод,0269,1,0,0,0,0,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0270,43,32,29,20,9,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0271,13,6,6,3,3,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0272,30,19,18,10,8,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0273,14,6,6,4,2,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,0274,10,3,3,3,0,0,0,0,0,0,0,0,0,
ИЕ 1,Македонски Брод,ЗРД-57-1,1,1,1,0,1,0,0,0,0,0,0,0,0,
ИЕ 1,Сарај,2428,560,378,364,1,115,80,59,0,14,95,0,0,0,
ИЕ 1,Сарај,2428/1,590,374,372,0,144,71,73,0,13,71,0,0,0,
